address,lat,lon,total,serious_crime,robbery,other,violent_crime,armed_perps,Assault,injury,intimidation,Extortion,theft_by_home_invasion,safe_cracking,School_Violence,Office_Violence,Store_Opening_Violence,empty_house_robbery,Stealth_Robbery,Illegal_Occupancy,other,Non-invasive_Robbery,Car_Theft,motorcycle_theft,bicycle_theft,property_theft_from_car,Vending_Machine_Theft,construction_site_theft,pick_pocketing,hit_n_run,property_theft,shoplifting,other,other_totals,scam,embezzlement,con_artist_crimes,gambling_crive,other_penal_code_offenses,Year
千代田区日比谷公園,0,0,15,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,9,2,0,0,0,0,2,2018
千代田区北の丸公園,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,2,3,3,1,1,0,0,1,2018
千代田区九段南１丁目,0,0,10,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,0,2,0,0,4,0,0,3,0,1,2018
千代田区九段南２丁目,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区九段南３丁目,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,3,3,3,1,0,1,0,1,2018
千代田区九段南４丁目,0,0,12,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,3,2,2,1,0,0,0,1,2018
千代田区九段北１丁目,0,0,17,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,6,0,0,0,3,5,2,2,0,0,1,2018
千代田区九段北２丁目,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区九段北３丁目,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区九段北４丁目,0,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2018
